numRows,numCols,totalImps,brokenImps,updateTime,naiveUpdateTime
13,15,906,72,141,834
15,12,266,0,23,39
14,15,871,27,142,578
12,11,219,11,15,45
14,12,400,19,22,105
11,12,361,39,15,93
15,15,748,80,50,527
12,11,155,4,7,15
11,14,445,43,50,190
13,11,118,0,3,8
13,12,237,10,7,34
11,13,415,29,26,146
14,12,309,9,18,67
11,15,724,74,81,554
14,13,494,42,29,199
12,11,185,1,8,17
15,15,897,65,104,735
11,11,202,18,7,37
14,11,195,19,9,39
14,11,178,9,4,18
11,14,468,6,58,123
15,13,411,29,20,129
15,12,408,30,19,130
15,13,446,44,33,184
12,14,675,38,55,308
15,12,292,31,12,71
14,11,245,10,13,40
12,15,538,70,34,265
11,12,245,20,18,59
14,11,122,7,1,9
12,14,618,39,59,302
14,15,595,29,70,349
11,12,295,43,18,66
15,12,276,15,15,59
12,14,503,44,35,218
14,12,376,27,32,118
13,11,188,8,8,24
14,12,319,38,6,58
15,11,173,29,3,20
12,15,770,35,54,393
12,11,173,19,6,24
11,12,131,24,4,17
11,13,264,46,18,76
12,14,329,13,13,66
12,14,512,35,49,239
15,14,762,45,72,444
13,11,195,17,4,25
12,15,763,42,60,379
15,11,220,0,8,16
15,15,744,80,31,273
11,13,413,67,14,99
13,15,671,72,41,293
13,14,686,67,40,325
12,14,492,4,27,84
12,14,424,27,12,72
15,15,1118,137,49,499
13,12,270,26,7,27
15,15,776,16,58,170
11,15,537,24,31,96
13,15,700,72,26,197
13,10,130,7,2,4
15,14,663,47,31,189
14,12,220,25,2,16
14,11,135,3,3,4
11,13,353,41,7,50
12,11,216,23,3,14
12,15,842,81,41,289
12,14,534,36,14,94
15,11,129,9,2,6
15,12,319,9,10,28
11,13,297,21,10,34
15,11,129,11,2,5
15,15,906,4,55,196
12,12,191,16,6,12
15,11,137,10,3,8
15,15,657,65,32,189
15,15,940,56,56,431
13,14,356,26,11,42
11,11,198,22,3,15
11,11,100,8,1,2
15,14,497,38,14,81
